##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	10_2G_both_S8_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	81477069
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1106	74-75	-0.1454844482317199
1106	76-77	-0.26554658676784726
1106	78-79	-0.1036242594226664
1106	80-81	-0.2087364586445446
1106	82-83	-0.27610147884205816
1106	84-85	-0.23990493141819513
1106	86-87	-0.20100121453760522
1106	88-89	-0.29099608078894335
1106	90-91	-0.26625821308292075
1106	92-93	-0.3633409025961214
1106	94-95	-0.3267499560536393
1106	96-97	-0.2504041285700822
1106	98-99	-0.20349722263873105
1106	100-101	-0.1296879236584303
1107	1	-0.6449621123945768
1107	2	-0.3532557389953688
1107	3	-0.9640891692137217
1107	4	-0.857964827109079
1107	5	-0.8430376973604226
1107	6	-0.8590097527483707
1107	7	-0.7955430906448484
1107	8	-0.7673885747079154
1107	9	-0.7788608425887418
1107	10-11	-0.7438195862509787
1107	12-13	-0.8002910178138052
1107	14-15	-0.7796452960294289
1107	16-17	-0.27177695745584174
1107	18-19	-0.09613585223673482
1107	20-21	-0.097366158187711
1107	22-23	-0.045915343249674834
1107	24-25	0.002310029012235759
1107	26-27	-0.023047116707900273
1107	28-29	-0.05409198781304525
1107	30-31	-0.22796441434691417
1107	32-33	0.04432570675569991
1107	34-35	-0.019860743500977662
1107	36-37	-0.03726727253850726
1107	38-39	-0.20328362150382873
1107	40-41	-0.1855318410595217
1107	42-43	-0.1382077917147484
1107	44-45	-0.14553984810996212
1107	46-47	-0.03896116842983588
1107	48-49	0.09064031631118752
1107	50-51	0.07440340693110414
1107	52-53	-0.003377811638934247
1107	54-55	0.1789531517393641
1107	56-57	-0.04530759903181547
1107	58-59	-0.01483184685831418
1107	60-61	0.02710554865308268
1107	62-63	-0.10983691338157087
1107	64-65	-0.03156215662599493
1107	66-67	0.05608381648116989
1107	68-69	0.09676131732801707
1107	70-71	-0.06663060542221189
1107	72-73	-0.005159927491547478
1107	74-75	0.005390874018480929
1107	76-77	-0.030236025209028128
1107	78-79	0.17055170353496152
1107	80-81	-0.06915889919310558
1107	82-83	-0.1850943876048703
1107	84-85	0.0033815431881762947
1107	86-87	-0.0604303961479431
1107	88-89	-0.10058872430988686
1107	90-91	-0.14340573296304626
1107	92-93	-0.10580123564064081
1107	94-95	-0.058720707325477406
1107	96-97	-0.08376415114324232
1107	98-99	0.11289537574250375
1107	100-101	0.13953727199228894
1108	1	-0.8037751319399646
1108	2	-0.5676484736866882
1108	3	-1.2220916643353306
1108	4	-1.0198994326940607
1108	5	-0.7882074022932741
1108	6	-1.0516704908760985
1108	7	-1.0718760093449333
1108	8	-0.9557196489727744
1108	9	-0.879623816807019
1108	10-11	-1.0240818325935237
1108	12-13	-1.0588050403320963
1108	14-15	-1.173600335299092
1108	16-17	-0.4007613887335282
1108	18-19	-0.10545002645679347
1108	20-21	0.0028938713667301386
1108	22-23	-0.03848679057189486
1108	24-25	0.05011833515763442
1108	26-27	0.060897822141470215
1108	28-29	-0.07086053985098317
1108	30-31	-0.07603058518617445
1108	32-33	0.04580815050613296
1108	34-35	-0.05618550572803116
1108	36-37	-0.03164044689648193
1108	38-39	-0.20791556296056513
1108	40-41	-0.1738171093536991
1108	42-43	-0.09751033199601977
1108	44-45	-0.05481650803528737
1108	46-47	0.004101942834530803
1108	48-49	0.08768604674560976
1108	50-51	0.04893885273178
1108	52-53	0.0011212900356838418
1108	54-55	0.23651789799438916
1108	56-57	0.032857530075411034
1108	58-59	0.09191008935164291
1108	60-61	0.14927257799263316
1108	62-63	0.09436838912355938
1108	64-65	0.05924048806086546
1108	66-67	0.059755750415668274
1108	68-69	0.1353365167377305
1108	70-71	0.05553851169354118
1108	72-73	0.036913904271401066
1108	74-75	0.06415649620607411
1108	76-77	0.11851034745698286
1108	78-79	0.11682223350513965
1108	80-81	0.015701514885194
1108	82-83	0.0304402257124039
1108	84-85	0.07602351808640861
1108	86-87	0.08034808680037031
1108	88-89	-0.012645355460378482
1108	90-91	-0.059440527599619486
1108	92-93	0.039741674097612645
1108	94-95	0.05438290605112428
1108	96-97	0.062134240474378544
1108	98-99	0.16767992021547684
1108	100-101	0.1661036065717596
1109	1	-0.41311356599382876
1109	2	-0.29595786299345406
1109	3	-0.8639239107494561
1109	4	-0.7730092752927149
1109	5	-0.6308216348155113
1109	6	-0.9701390605595819
1109	7	-0.7420941788253046
1109	8	-0.9210283945739519
1109	9	-0.7044133962246804
1109	10-11	-0.8417347849211723
1109	12-13	-0.6513953995247803
1109	14-15	-0.5932584108324406
1109	16-17	-0.22321757835525347
1109	18-19	-0.06453256333172419
1109	20-21	0.06843392545605553
1109	22-23	0.07002296484343162
1109	24-25	0.10915193338298224
1109	26-27	0.07784304835080746
1109	28-29	-0.07433630533549263
1109	30-31	0.029548903196932486
1109	32-33	0.14664961219976647
1109	34-35	0.003518307400774745
1109	36-37	-0.048337663751389925
1109	38-39	-0.11821086860837227
1109	40-41	-0.19182336754830231
1109	42-43	-0.032101412399342166
1109	44-45	0.06281476310401501
1109	46-47	0.17761018844467458
1109	48-49	0.2421506595136549
1109	50-51	0.17496870555984145
1109	52-53	0.10203004926292891
1109	54-55	0.28480317355787577
1109	56-57	0.1415803271744025
1109	58-59	0.14434268822587626
1109	60-61	0.09633487117347528
1109	62-63	0.03431027346669424
1109	64-65	0.08688344237805268
1109	66-67	0.17868083336527008
1109	68-69	0.22352846397274106
1109	70-71	0.03044276713671934
1109	72-73	0.05743235412050751
1109	74-75	0.1324435058803246
1109	76-77	0.28906978732495503
1109	78-79	0.32384428040516866
1109	80-81	0.09254509360265928
1109	82-83	0.09931373995620163
1109	84-85	0.16313849256559365
1109	86-87	0.16620700501009367
1109	88-89	0.034385139716860635
1109	90-91	-0.029555016443509885
1109	92-93	0.08020882850137667
1109	94-95	0.10645424537531056
1109	96-97	0.076048705357735
1109	98-99	0.20723533109149628
1109	100-101	0.2912450179444477
1110	1	-0.48475935594643005
1110	2	-0.21588417082913836
1110	3	-0.7623922220173043
1110	4	-0.5805894773008191
1110	5	-0.6102017121909995
1110	6	-0.8689820015866943
1110	7	-0.6613124093852392
1110	8	-0.5249228261387557
1110	9	-0.405468867729347
1110	10-11	-0.2544331143002694
1110	12-13	-0.1571750487350556
1110	14-15	-0.07637851184320255
1110	16-17	-0.006405784588977781
1110	18-19	-0.11311692749961111
1110	20-21	0.02038870577978713
1110	22-23	0.09182137640308952
1110	24-25	0.13646541301199733
1110	26-27	0.1164109398119777
1110	28-29	0.032122126810534724
1110	30-31	0.10243368229404837
1110	32-33	0.14267057461402288
1110	34-35	0.06325139438121141
1110	36-37	0.016613417040552747
1110	38-39	-0.02879530407043518
1110	40-41	-0.027352245421916166
1110	42-43	0.12637922634867493
1110	44-45	0.14450043828828996
1110	46-47	0.13862208152067979
1110	48-49	0.12929064435039805
1110	50-51	0.11691991367812449
1110	52-53	-0.020219615031557225
1110	54-55	0.1951614136297266
1110	56-57	0.10029273977695397
1110	58-59	0.14283043272931195
1110	60-61	0.15442559673512335
1110	62-63	0.1002086040286585
1110	64-65	0.1589571205307294
1110	66-67	0.2282595121261366
1110	68-69	0.22699785786968363
1110	70-71	0.15534306258972208
1110	72-73	0.0687881226871383
1110	74-75	0.09216430503968098
1110	76-77	0.052264230351703134
1110	78-79	0.13489962766025343
1110	80-81	0.017689141953432852
1110	82-83	0.039716757138627656
1110	84-85	0.22107903096832615
1110	86-87	0.19271197297658915
1110	88-89	0.15368570986866104
1110	90-91	0.06424401518007983
1110	92-93	0.050389952469615196
1110	94-95	0.10935278610853771
1110	96-97	0.049642191314980266
1110	98-99	0.15774147228783875
1110	100-101	0.22532826880945578
1111	1	-0.15458400125024951
1111	2	-0.14564060830781145
1111	3	-0.4601918571040855
1111	4	-0.3599515813797183
1111	5	-0.2376079685474224
1111	6	-0.21182464534699363
1111	7	-0.1570684027945788
1111	8	0.013823584435904479
1111	9	0.08076963366777079
1111	10-11	0.05990660006200699
1111	12-13	0.1000874926060007
1111	14-15	0.06359853488446987
1111	16-17	0.09497440076825114
1111	18-19	0.11492166621498967
1111	20-21	0.19111202886356438
1111	22-23	0.1486915151766084
1111	24-25	0.18175179180199308
1111	26-27	0.15009072079576669
1111	28-29	0.0496386226825436
1111	30-31	0.08376283154617425
1111	32-33	0.22468580518555825
1111	34-35	0.18021908455416735
1111	36-37	0.17543036243111487
1111	38-39	0.12178923278604259
1111	40-41	0.01958839359609499
1111	42-43	0.11897523653050257
1111	44-45	0.18726880296163273
1111	46-47	0.1964256994146325
1111	48-49	0.23081072887408283
1111	50-51	0.15293935568848838
1111	52-53	0.11262612764981128
1111	54-55	0.3150535996120283
1111	56-57	0.1931962016182709
1111	58-59	0.27472978118543523
1111	60-61	0.2371443831017075
1111	62-63	0.2084437897496727
1111	64-65	0.23074725716574562
1111	66-67	0.2579681974406469
1111	68-69	0.3125382537217192
1111	70-71	0.18726107236714995
1111	72-73	0.20871973532409527
1111	74-75	0.2043782150879565
1111	76-77	0.253554738647388
1111	78-79	0.3283458437775053
1111	80-81	0.1593856059733838
1111	82-83	0.10346737426267794
1111	84-85	0.18157580082038294
1111	86-87	0.20846819130843386
1111	88-89	0.19353438109470744
1111	90-91	0.10921221088118216
1111	92-93	0.16906497120591268
1111	94-95	0.16674033638509655
1111	96-97	0.22487145261298735
1111	98-99	0.3481685248056223
1111	100-101	0.21374026432744841
1112	1	0.2037336577114104
1112	2	-0.04238804365574822
1112	3	-0.05111359610911137
1112	4	0.08857366058504113
1112	5	0.11761604714315155
1112	6	0.2599343613625891
1112	7	0.2832343291709307
1112	8	0.3417414423443148
1112	9	0.23305016800337341
1112	10-11	0.23887719975203936
1112	12-13	0.2307574719532397
1112	14-15	0.2370792647390445
1112	16-17	0.31677714275298996
1112	18-19	0.283638128115129
1112	20-21	0.28853467567225977
1112	22-23	0.34686511354917116
1112	24-25	0.3934475481001769
1112	26-27	0.3780482691796365
1112	28-29	0.2719226799716523
1112	30-31	0.2655109806557121
1112	32-33	0.35910087188374007
1112	34-35	0.314170062083555
1112	36-37	0.25391296088148607
1112	38-39	0.24181806631776226
1112	40-41	0.24311924342863023
1112	42-43	0.3623390269498259
1112	44-45	0.36097459441664626
1112	46-47	0.35353849731312437
1112	48-49	0.41162678104092976
1112	50-51	0.364113496223446
1112	52-53	0.3281280452649611
1112	54-55	0.5223205359236189
1112	56-57	0.32040704820801835
1112	58-59	0.3782919334177137
1112	60-61	0.4614682891852766
1112	62-63	0.3786390657358609
1112	64-65	0.410731810028409
1112	66-67	0.45737838151462284
1112	68-69	0.4911007012646138
1112	70-71	0.37009969792507036
1112	72-73	0.39945067422633684
1112	74-75	0.4028024068490268
1112	76-77	0.4870317439183438
1112	78-79	0.5577236040754272
1112	80-81	0.4264677333368141
1112	82-83	0.3974788321312559
1112	84-85	0.4434705183696579
1112	86-87	0.5147517202490732
1112	88-89	0.4552235316217548
1112	90-91	0.37366924610867613
1112	92-93	0.4173700173735142
1112	94-95	0.3957867550156067
1112	96-97	0.39385440681338935
1112	98-99	0.5009346299647319
1112	100-101	0.2841100606299065
1113	1	0.12987506714475572
1113	2	0.12783313023485832
1113	3	0.3010228006725342
1113	4	0.2738123849794647
1113	5	0.16137101074343008
1113	6	0.3154698090034458
1113	7	0.24771214753837256
1113	8	0.32074148401512304
1113	9	0.2596442769491816
1113	10-11	0.2815801277531307
1113	12-13	0.24428213640566554
1113	14-15	0.241324384079995
1113	16-17	0.31458823332231844
1113	18-19	0.3372896664122891
1113	20-21	0.30873732510151086
1113	22-23	0.29963063854658856
1113	24-25	0.3447817142826963
